Unnamed: 0,origin,destination,train_type,price,train_class,fare
14700,BARCELONA,MADRID,AVE,100.4,Turista,Promo
14701,BARCELONA,MADRID,AVE,102.15,Turista Plus,Promo
14702,BARCELONA,MADRID,AVE,100.4,Turista,Promo
14704,BARCELONA,MADRID,AVE,85.1,Turista,Promo
14705,BARCELONA,MADRID,AVE,107.7,Turista,Flexible
14706,BARCELONA,MADRID,AVE,69.8,Turista Plus,Promo
14707,BARCELONA,MADRID,AVE,75.4,Turista,Promo
14708,BARCELONA,MADRID,AVE,75.4,Turista,Promo
14709,BARCELONA,MADRID,AVE,78.8,Turista,Promo
14710,BARCELONA,MADRID,AVE,85.1,Turista,Promo
14712,BARCELONA,MADRID,AVE,85.1,Turista,Promo
14713,BARCELONA,MADRID,AVE,85.1,Turista,Promo
14714,BARCELONA,MADRID,AVE,75.4,Turista,Promo
14716,BARCELONA,MADRID,AVE,58.15,Turista,Promo
14717,BARCELONA,MADRID,AVE,66.75,Turista,Promo
14718,BARCELONA,MADRID,AVE,75.4,Turista,Promo
14719,BARCELONA,MADRID,AVE,69.8,Turista Plus,Promo
14721,BARCELONA,MADRID,AVE,58.15,Turista,Promo
14722,BARCELONA,MADRID,AVE,66.75,Turista,Promo
14723,BARCELONA,MADRID,AVE,49.55,Turista,Promo
15600,VALENCIA,MADRID,AVE,39.45,Turista,Promo
15601,VALENCIA,MADRID,AVE,39.45,Turista,Promo
15602,VALENCIA,MADRID,AVE,45.3,Turista,Promo
15603,VALENCIA,MADRID,AVE,33.65,Turista,Promo
15606,VALENCIA,MADRID,AVE,33.65,Turista,Promo
15607,VALENCIA,MADRID,AVE,21.95,Turista,Promo
15608,VALENCIA,MADRID,AVE,27.8,Turista,Promo
16428,SEVILLA,MADRID,AV City,58.95,Turista Plus,Promo
16431,SEVILLA,MADRID,ALVIA,,Turista,Flexible
16432,SEVILLA,MADRID,AVE,76.3,Turista,Flexible
16433,SEVILLA,MADRID,AVE,76.3,Turista,Flexible
16436,SEVILLA,MADRID,AVE,76.3,Turista,Flexible
16437,SEVILLA,MADRID,AVE,76.3,Turista,Flexible
16438,SEVILLA,MADRID,ALVIA,,Turista,Flexible
16439,SEVILLA,MADRID,AVE,76.3,Turista,Flexible
16443,SEVILLA,MADRID,AVE,76.3,Turista,Flexible
16444,SEVILLA,MADRID,AVE,76.3,Turista,Flexible
16446,SEVILLA,MADRID,AVE,64.05,Turista Plus,Promo
16447,SEVILLA,MADRID,AVE,72.3,Turista Plus,Promo
16448,SEVILLA,MADRID,ALVIA,,Turista,Flexible
16449,SEVILLA,MADRID,AV City,62.2,Turista,Flexible
16450,SEVILLA,MADRID,AV City,58.95,Turista Plus,Promo
16451,SEVILLA,MADRID,AVE,47.3,Turista,Promo
16454,SEVILLA,MADRID,AVE,76.3,Turista,Flexible
16457,SEVILLA,MADRID,AVE,47.3,Turista,Promo
16458,SEVILLA,MADRID,ALVIA,,Turista,Promo
16459,SEVILLA,MADRID,AVE,47.3,Turista,Promo
16460,SEVILLA,MADRID,ALVIA,47.05,Turista,Promo
16461,SEVILLA,MADRID,AVE,53.4,Turista,Promo
16462,SEVILLA,MADRID,AVE,53.4,Turista,Promo
16463,SEVILLA,MADRID,AVE,60.3,Turista,Promo
16465,SEVILLA,MADRID,AVE,47.3,Turista,Promo
16466,SEVILLA,MADRID,AV City,52.2,Turista Plus,Promo
17210,PONFERRADA,MADRID,ALVIA,27.9,Turista,Promo
17575,MADRID,VALENCIA,AVE,21.95,Turista,Promo
17576,MADRID,VALENCIA,AVE,39.45,Turista,Promo
17577,MADRID,VALENCIA,AVE,21.95,Turista,Promo
17579,MADRID,VALENCIA,AVE,33.65,Turista,Promo
17581,MADRID,VALENCIA,AVE,45.3,Turista,Promo
17582,MADRID,VALENCIA,AVE-MD,71,Turista con enlace,Flexible
17583,MADRID,VALENCIA,AVE,45.3,Turista,Promo
17585,MADRID,VALENCIA,AVE-LD,56.1,Turista con enlace,Flexible
17589,MADRID,VALENCIA,AVE,51.15,Turista,Promo
17590,MADRID,VALENCIA,AVE,39.45,Turista,Promo
17591,MADRID,VALENCIA,AVE,33.65,Turista,Promo
17593,MADRID,VALENCIA,AVE,45.3,Turista,Promo
17595,MADRID,VALENCIA,AVE,33.65,Turista,Promo
17597,MADRID,VALENCIA,AVE,27.8,Turista,Promo
17598,MADRID,VALENCIA,AVE,39.45,Turista,Promo
17599,MADRID,VALENCIA,AVE-MD,71,Turista con enlace,Flexible
